,Loc ID,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,Directions,Category,LRS ID,LRS Loc Pt,Latitude,Longitude,Latest,Count
6509,31-5100,Houghton,-,(5) Major Collector,U,CANAL RD,,,NW OF,M 26,2-WAY,EB/WB,Primary,1176101.0,0.141,47.12015159,-88.58705496,1447.0,1447.0
6510,31-5101,Houghton,HOUGHTON,(4) Minor Arterial,U,BRIDGE ST,,,,BETWEEN EDWARDS AND DOUGLAS (IN HOUGHTON),2-WAY,NB/SB,Primary,3310171.0,0.129,47.11848725,-88.57313771,3928.0,3928.0
6511,31-5102,Houghton,Houghton,(4) Minor Arterial,U,SHARON AVE,,,EAST OF,Agate St,2-WAY,EB/WB,Primary,1186001.0,0.274,47.11237316,-88.55901953,3922.0,3922.0
6512,31-5103,Houghton,HANCOCK,(4) Minor Arterial,U,INGOT ST,,,,BETWEEN SUMMIT AND 4TH (IN HANCOCK),2-WAY,EB/WB,Primary,1187406.0,0.403,47.1338965,-88.59813696,1462.0,1462.0
6513,31-5104,Houghton,HANCOCK,(5) Major Collector,U,ELEVATOIN ST,,,,BETWEEN HILL AND INGOT (IN HANCOCK),2-WAY,NB/SB,Primary,1177601.0,0.429,47.13282214,-88.59439331,2594.0,2594.0
6514,31-5105,Houghton,HANCOCK,(5) Major Collector,U,FRANKLIN ST,,,,BETWEEN RESERVATION AND TEZCUCO (IN HANCOCK),2-WAY,EB/WB,Primary,1179003.0,0.246,47.12776444,-88.58010785,315.0,315.0
6515,31-5106,Houghton,-,(5) Major Collector,U,SUNSHINE RD,,,EAST OF,US 41,2-WAY,EB/WB,Primary,1177806.0,0.989,47.14150051,-88.54961449,1917.0,1917.0
6516,31-5107,Houghton,-,(5) Major Collector,R,TRAPROCK VALLEY RD,,,SW OF,Gay Rd,2-WAY,NB/SB,Primary,1182809.0,1.138,47.21041725,-88.38598231,1620.0,1620.0
6517,31-5108,Houghton,CALUMET,(4) Minor Arterial,U,6TH ST,,,,BETWEEN PORTLAND AND OAK 4 (IN CALUMET),2-WAY,NB/SB,Primary,3310504.0,0.578,47.24566317,-88.4537548,5783.0,5783.0
6518,31-5109,Houghton,-,(5) Major Collector,U,RED JACKET RD,,,NW OF,M 26,2-WAY,EB/WB,Primary,3310233.0,0.118,47.24284114,-88.44980712,4869.0,4869.0
6519,31-5110,Houghton,LAURIUM,(4) Minor Arterial,U,1ST ST,,,,BETWEEN OSCEOLA AND WOODLAND (IN LAURIUM),2-WAY,EB/WB,Primary,1188501.0,1.577,47.24062128,-88.44124803,2967.0,2967.0
6520,31-5111,Houghton,LAURIUM,(5) Major Collector,U,CALUMET ST,,,,BETWEEN 2ND AND 3RD (IN LAURIUM),2-WAY,NB/SB,Primary,1185310.0,0.751,47.23858023,-88.44459027,817.0,817.0
6521,31-5112,Houghton,-,(5) Major Collector,U,ERICKSON DR,,,WEST OF,M 26,2-WAY,EB/WB,Primary,1902508.0,0.091,47.09887512,-88.62444955,692.0,692.0
6522,31-5113,Houghton,Calumet,(6) Minor Collector,U,OSCEOLA RD,,,NW OF,US 41,2-WAY,EB/WB,,1178009.0,0.8117329,47.22830753,-88.46809182,5755.0,5755.0
6523,31-5114,Houghton,-,(4) Minor Arterial,U,SUPERIOR RD,,,SOUTH OF,W Sharon Ave,2-WAY,NB/SB,Primary,1181910.0,11.99,47.10610729,-88.57221354,480.0,480.0
6524,31-5116,Houghton,-,(6) Minor Collector,U,A63,,,,BTWEEN SMELTS RD AND CANAL RD (S554),2-WAY,NB/SB,Primary,1184308.0,0.055,47.12792884,-88.62467551,748.0,748.0
6525,31-5117,Houghton,-,(6) Minor Collector,U,ONECO DR (O18),,,,BTWN AMYGDALOID & CONGLOMERATE ST,2-WAY,,Primary,1178007.0,0.32,47.16459365,-88.44556226,393.0,393.0
6526,31-6350,Houghton,Schoolcraft,(4) Minor Arterial,U,M-26,,,SOUTH OF,9th St,2-WAY,NE/SW,Primary,1175707.0,16.054,47.19601022,-88.40749848,5192.0,5192.0
6527,31-6351,Houghton,Calumet,(4) Minor Arterial,U,M-26,,,SE OF,Hecla St,2-WAY,NW/SE,Primary,3310007.0,3.640675,47.2329482,-88.44500224,4046.0,4046.0
6528,31-6352,Houghton,LAURIUM,(4) Minor Arterial,U,M-26,,,,BETWEEN 3RD AND 4TH ST.,2-WAY,NW/SE,Primary,1185203.0,0.368,47.23652017,-88.44349538,2254.0,2254.0
6529,32-0001,Huron,-,(4) Minor Arterial,R,M-19,,,SOUTH OF,M 142,2-WAY,NB/SB,Primary,1034801.0,8.383,43.8023964,-82.94100375,2507.0,2507.0
6530,32-0002,Huron,Harbor Beach,(4) Minor Arterial,R,M-25 HURON,,,SE OF,State St,2-WAY,NW/SE,Primary,1033107.0,9.886,43.82901347,-82.64240075,1900.0,1900.0
6531,32-0005,Huron,Port Austin,(4) Minor Arterial,R,M-25 GRINDSTONE RD.,,,EAST OF,M 53,2-WAY,EB/WB,Primary,1033107.0,34.991,44.04115815,-82.9796336,908.0,908.0
6532,32-0006,Huron,-,(3) Other Principal Arterial,R,M-25,,,SOUTH OF,M 142,2-WAY,NB/SB,Primary,1031002.0,8.911,43.82662076,-83.37817962,2067.0,2067.0
6533,32-0007,Huron,-,(4) Minor Arterial,R,M-25,,,NORTH OF,M 142,2-WAY,NB/SB,Primary,1031002.0,9.146,43.83002338,-83.37832638,1864.0,1864.0
6534,32-0008,Huron,-,(3) Other Principal Arterial,R,M-53,,,NORTH OF,W Atwater Rd,2-WAY,NB/SB,Primary,1033809.0,2.997,43.71953491,-83.09874395,4301.0,4301.0
6535,32-0009,Huron,Port Austin,(4) Minor Arterial,R,M-25 SPRING ST.,,,WEST OF,Lake St,2-WAY,EB/WB,Primary,1031002.0,36.78,44.04415058,-83.01194033,1130.0,1130.0
6536,32-0010,Huron,-,(4) Minor Arterial,R,M-25,,,SOUTH OF,Atwater Rd,2-WAY,NB/SB,Primary,1033107.0,0.098,43.69175512,-82.61139322,1288.0,1288.0
6537,32-0012,Huron,BAD AXE,(3) Other Principal Arterial,R,M-53 M-142,,,,SOUTH OF WAL-MART(N. OF BUSCHLEN ST),2-WAY,NB/SB,Primary,1034303.0,9.351,43.8147514,-83.0008489,16113.0,16113.0
6538,32-0014,Huron,-,(4) Minor Arterial,R,M-53,,,SOUTH OF,W Kinde Rd,2-WAY,NB/SB,Primary,1034303.0,16.50921,43.91840879,-83.00434667,3730.0,3730.0
6539,32-0015,Huron,-,(4) Minor Arterial,R,M-53,,,SOUTH OF,M 25,2-WAY,NB/SB,Primary,1034303.0,24.96125,44.03710771,-82.99425015,1983.0,1983.0
6540,32-0016,Huron,-,(3) Other Principal Arterial,R,M-142,,,EAST OF,M 25,2-WAY,EB/WB,Primary,3320033.0,0.0905687,43.82844407,-83.37646988,784.0,784.0
6541,32-0018,Huron,-,(3) Other Principal Arterial,R,M-142,,,WEST OF,N Van Dyke Rd,2-WAY,EB/WB,Primary,1031108.0,19.745,43.82359085,-83.00325858,5233.0,5233.0
6542,32-0020,Huron,-,(4) Minor Arterial,R,M-142,,,WEST OF,M 19,2-WAY,EB/WB,Primary,1033809.0,14.973,43.80381287,-82.94323116,5512.0,5512.0
6543,32-0022,Huron,-,(4) Minor Arterial,R,M-25,,,SOUTH OF,Filion Rd,2-WAY,NB/SB,Primary,1033107.0,14.813,43.89169992,-82.6842184,1314.0,1314.0
6544,32-0054,Huron,Sebewaing,(3) Other Principal Arterial,R,M-25 UNIONVILLE RD.,,,SOUTH OF,E Bay St,2-WAY,NB/SB,Primary,1030708.0,4.159,43.72461096,-83.44579402,9150.0,9150.0
6545,32-0077,Huron,-,(3) Other Principal Arterial,R,M-142,,,WEST OF,S Caseville Rd,2-WAY,EB/WB,Primary,3320033.0,4.846162,43.82973009,-83.28133436,2302.0,2302.0
6546,32-0078,Huron,Oliver,(3) Other Principal Arterial,R,M-142 WHALEN,,,WEST OF,Main St,2-WAY,EB/WB,Primary,1031108.0,10.357,43.81793824,-83.19072437,4144.0,4144.0
6547,32-0085,Huron,Harbor Beach,(4) Minor Arterial,R,M-142,,,SW OF,Nelson St,2-WAY,NE/SW,Primary,1033809.0,29.274,43.84082997,-82.66546346,2366.0,2366.0
6548,32-0088,Huron,-,(3) Other Principal Arterial,R,M-53,,,NE OF,S Pinnebog Rd,2-WAY,NE/SW,Primary,1033809.0,7.469,43.77945663,-83.08318299,4472.0,4472.0
6549,32-0090,Huron,Sebewaing,(3) Other Principal Arterial,R,M-25,,,WEST OF,Canboro Rd,2-WAY,NE/SW,Primary,1031002.0,0.911,43.74081919,-83.43812254,3685.0,3685.0
6550,32-0096,Huron,-,(3) Other Principal Arterial,R,M-25,,,SW OF,Wildner Rd,2-WAY,NE/SW,Primary,1030708.0,1.493,43.68864714,-83.46299966,7235.0,7235.0
6551,32-0216,Huron,-,(4) Minor Arterial,R,SEBAWAING,,,,EAST OF M-25,2-WAY,EB/WB,,1038908.0,1.056,43.72606698,-83.44555033,3569.0,3569.0
6552,32-0220,Huron,-,(5) Major Collector,R,FILION,,,WEST OF,M-25,2-WAY,EB/WB,Primary,1031304.0,31.7136,43.90426651,-82.69695934,234.0,234.0
6553,32-0222,Huron,-,(5) Major Collector,R,FILION,,,EAST OF,Brown Rd,2-WAY,EB/WB,Primary,1031304.0,1.595541,43.88693755,-83.2997646,714.0,714.0
6554,32-0246,Huron,-,(5) Major Collector,R,VERONA,,,NORTH OF,Sand Beach Rd,2-WAY,NB/SB,Primary,1037004.0,9.179209,43.81572395,-82.88146184,1479.0,1479.0
6555,32-0247,Huron,Port Austin,(5) Major Collector,R,VERONA,,,SOUTH OF,Grindstone Rd,2-WAY,NB/SB,Primary,1037004.0,24.619,44.0392931,-82.8890965,234.0,234.0
6556,32-1600,Huron,Bad Axe,(3) Other Principal Arterial,R,M-53 HURON,,,WEST OF,N Van Dyke Rd,2-WAY,EB/WB,Primary,1033809.0,12.09,43.80205313,-83.00084011,8492.0,8492.0
6557,32-1601,Huron,Bad Axe,(4) Minor Arterial,R,M-142 HURON,,,EAST OF,N Van Dyke Rd,2-WAY,EB/WB,Primary,1033809.0,12.127,43.80206667,-83.00010034,8219.0,8219.0
6558,32-1602,Huron,Bad Axe,(3) Other Principal Arterial,R,M-53 M-142,,,NORTH OF,W Huron Ave,2-WAY,NB/SB,Primary,1034303.0,8.505,43.80249913,-83.00052338,12012.0,12012.0
6559,32-2602,Huron,CASEVILLE,(4) Minor Arterial,R,M-25 MAIN,,,SW OF,Michigan Ave,2-WAY,NE/SW,Primary,1031002.0,19.249,43.93748573,-83.27317052,4925.0,4925.0
6560,32-3603,Huron,Oliver,(3) Other Principal Arterial,R,M-142 MILL,,,EAST OF,Main St,2-WAY,EB/WB,,1031108.0,10.86,43.81826685,-83.18067126,4091.0,4091.0
6561,32-4600,Huron,Harbor Beach,(4) Minor Arterial,R,M-142 STATE,,,WEST OF,S Huron Ave,2-WAY,NE/SW,Primary,1033809.0,30.014,43.84464823,-82.65162656,2881.0,2881.0
6562,32-4601,Huron,Harbor Beach,(4) Minor Arterial,R,M-25 HURON,,,SOUTH OF,State St,2-WAY,NB/SB,Primary,1033107.0,11.0621,43.84412043,-82.65138426,2817.0,2817.0
6563,32-4603,Huron,Harbor Beach,(4) Minor Arterial,R,M-25 HURON,,,NORTH OF,State St,2-WAY,NB/SB,Primary,1033107.0,11.112,43.84484246,-82.65142541,2520.0,2520.0
6564,32-5002,Huron,Hume,(4) Minor Arterial,R,M-53,,,SOUTH OF,W Kinde Rd,2-WAY,NB/SB,Primary,1034303.0,17.90178,43.93857174,-83.00516163,3403.0,3403.0
6565,32-5101,Huron,-,(5) Major Collector,R,HURON CITY RD,,,,S OF M-25 LAKE SHORE,2-WAY,NB/SB,Primary,5500027.0,11.278,44.01566501,-82.83310352,149.0,149.0
6566,32-5102,Huron,-,(5) Major Collector,R,VERONA RD,,,,S OF M-142 SAND BEACH N OF PHILP,2-WAY,NB/SB,Primary,1037004.0,7.335,43.78901565,-82.88073477,586.0,586.0
6567,32-5104,Huron,-,(5) Major Collector,R,PORT HOPE RD,,,,S OF DOBSON N OF FILION,2-WAY,EB/WB,Primary,1037708.0,3.517,43.91114906,-82.72441989,396.0,396.0
6568,32-5107,Huron,-,(4) Minor Arterial,R,RUTH RD,,,,S OF PURDY N OF PRIEMER,2-WAY,NB/SB,Primary,1037610.0,4.655,43.75383966,-82.74105104,1331.0,1331.0
6569,32-5108,Huron,-,(5) Major Collector,R,PARISVILLE RD,,,,S OF HELENA N OF PURDY,2-WAY,NB/SB,Primary,1037503.0,5.473,43.76409719,-82.80010631,588.0,588.0
6570,32-5109,Huron,-,(5) Major Collector,R,VERONA RD,,,,N OF MUNFORD S OF ATWATER,2-WAY,NB/SB,Primary,1037004.0,1.483,43.70425879,-82.87877294,124.0,124.0
6571,32-5110,Huron,-,(5) Major Collector,R,CARPENTER RD,,,,S OF MURRAY N OF M-142 SAND BEACH,2-WAY,NB/SB,Primary,1034801.0,8.795,43.80836179,-82.94124759,1471.0,1471.0
6572,32-5112,Huron,-,(5) Major Collector,R,BAD AVE RD,,,,S OF POPPLE N OF WADSWORTH,2-WAY,NB/SB,Primary,1034303.0,5.537,43.7595129,-82.99948486,2695.0,2695.0
6573,32-5113,Huron,-,(5) Major Collector,R,Learman,,,,E OF BAD AXE W OF CROCKARD,2-WAY,EB/WB,Primary,1031108.0,20.558,43.82447489,-82.98704048,2388.0,2388.0
6574,32-5114,Huron,-,(5) Major Collector,R,PINNEBOG RD,,,,N OF M-142 PIGEON S OF RICHARDSON,2-WAY,NB/SB,Primary,1032510.0,3.872,43.82665111,-83.10150446,984.0,984.0
6575,32-5116,Huron,-,(5) Major Collector,R,OAK BEACH RD,,,,S OF LOOSEMORE,2-WAY,NB/SB,Primary,1036508.0,2.658,43.98918732,-83.12611662,563.0,563.0
6576,32-5119,Huron,-,(5) Major Collector,R,ELKTON RD,,,,N OF HAIST S OF GEIGER,2-WAY,NB/SB,Primary,1036109.0,8.353,43.7944731,-83.1805278,2030.0,2030.0
6577,32-5120,Huron,-,(5) Major Collector,R,STATE PARK RD,,,,S OF M-25 PORT AUSTIN,2-WAY,NB/SB,Primary,3320014.0,2.898,43.9751949,-83.20550817,495.0,495.0
6578,32-5121,Huron,OWENDALE,(5) Major Collector,R,CENTER,,,,N OF RESCUE S OF HARTMAN,2-WAY,NB/SB,Primary,1038504.0,3.655,43.7242432,-83.26707305,998.0,998.0
6579,32-5122,Huron,-,(5) Major Collector,R,OWENDALE RD,,,,N OF MCALPIN S OF RESCUE,2-WAY,NB/SB,Primary,1038504.0,2.186,43.7029669,-83.26641306,973.0,973.0
6580,32-5123,Huron,-,(5) Major Collector,R,CASEVILLE RD,,,,N OF GEIGER S OF WEALE,2-WAY,NB/SB,Primary,1038601.0,5.51,43.80872298,-83.27904226,2808.0,2808.0
6581,32-5125,Huron,Winsor,(5) Major Collector,R,WEALE RD,,,,E OF CESVILLE W OF M-142 PIGEON,2-WAY,EB/WB,Primary,1031108.0,6.227126,43.81554629,-83.27327537,3738.0,3738.0
6582,32-5126,Huron,-,(5) Major Collector,R,BAY PORT RD,,,,N OF STEIN S OF HAIST,2-WAY,NB/SB,Primary,1037907.0,7.496,43.77830339,-83.35707989,951.0,951.0
6583,32-5127,Huron,-,(5) Major Collector,R,VOLZ RD,,,,N OF STEIN S OF HAIST,2-WAY,NB/SB,Primary,3320003.0,1.092,43.77156618,-83.37709579,27.0,27.0
6584,32-5128,Huron,-,(5) Major Collector,R,HENNE RD,,,,E OF M-25 PORT AUSTIN W OF BAY PORT,2-WAY,EB/WB,Primary,1031301.0,0.189,43.84948401,-83.36155641,412.0,412.0
6585,32-5129,Huron,-,(5) Major Collector,R,PORT CRESCENT RD,,,,W OF AHEARN,2-WAY,EB/WB,Primary,1032002.0,1.028,44.00281986,-83.03454237,321.0,321.0
6586,32-5130,Huron,-,(5) Major Collector,R,STODDARD RD,,,,E OF KINCH W OF ISELER,2-WAY,EB/WB,Primary,1034704.0,6.794,44.00111299,-82.87147025,155.0,155.0
6587,32-5131,Huron,-,(5) Major Collector,R,OAK BEACH,,,,W OF M-53 E OF AHEARN,2-WAY,NB/SB,Primary,1036308.0,6.99,43.96716772,-83.02174939,379.0,379.0
6588,32-5132,Huron,-,(5) Major Collector,R,Kinde,,,,W OF M-25 LAKE SHORE E OF POCHERT,2-WAY,EB/WB,Primary,1031706.0,25.461,43.94693602,-82.73811035,454.0,454.0
6589,32-5135,Huron,-,(5) Major Collector,R,KINDE RD,,,,E OF MC CORMICK W OF CHAMPAGNE,2-WAY,EB/WB,Primary,1031706.0,4.737,43.93450526,-83.15318148,1252.0,1252.0
6590,32-5137,Huron,-,(5) Major Collector,R,FILION RD,,,,W OF VAN DYKE,2-WAY,EB/WB,Primary,1031304.0,16.243,43.89538861,-83.00660353,729.0,729.0
6591,32-5138,Huron,-,(5) Major Collector,R,Stein,,,,W OF M-53 VANDYKE E OF PINNEBOG,2-WAY,EB/WB,Primary,1031104.0,14.472,43.77848198,-83.09193266,514.0,514.0
6592,32-5139,Huron,-,(5) Major Collector,R,HELENA RD,,,,E OF EDWARDS W OF M-25 LK SHORE,2-WAY,EB/WB,Primary,1039108.0,40.69,43.77646164,-82.63684206,229.0,229.0
6593,32-5140,Huron,-,(5) Major Collector,R,WADSWORTH RD,,,,W OF UBLY W OF STAMBAUGH,2-WAY,EB/WB,Primary,1031010.0,24.638,43.75323346,-82.94529858,908.0,908.0
6594,32-5141,Huron,-,(4) Minor Arterial,R,Sebewaing,,,,W OF M-53 VAN DYKE E OF GRASSMERE,2-WAY,EB/WB,,1038908.0,17.672,43.73350763,-83.1137766,2455.0,2455.0
6595,32-5142,Huron,Brookfield,(4) Minor Arterial,R,MAIN ST,Caseville Rd,8th St,BETWEEN,Caseville Rd AND 8th St,2-WAY,EB/WB,,1038908.0,9.700925,43.72899729,-83.27289256,3186.0,3186.0
6596,32-5143,Huron,-,(4) Minor Arterial,R,SEBEWAING RD,,,,E OF CARO W OF LANGE,2-WAY,EB/WB,Primary,1038908.0,2.024,43.72640138,-83.42621776,3079.0,3079.0
6597,32-5144,Huron,-,(5) Major Collector,R,Atwater,,,,E OF M-53 VAN DYKE W OF IVANHOE,2-WAY,EB/WB,,3320081.0,19.286,43.70553283,-83.08710406,1300.0,1300.0
6598,32-5145,Huron,UBLY,(5) Major Collector,R,MAIN ST,,,,E OF M-19 WASHINGTON W OF HARRISON,2-WAY,EB/WB,Primary,3320081.0,26.847,43.71002908,-82.93625151,3718.0,3718.0
6599,32-5146,Huron,-,(5) Major Collector,R,ATWATER RD,,,,E OF JURGESS W OF TYRE,2-WAY,EB/WB,Primary,3320081.0,27.992,43.710686,-82.91340474,1598.0,1598.0
6600,32-5147,Huron,-,(5) Major Collector,R,ATWATER RD,,,,E OF MAURER W OF MAZURE,2-WAY,EB/WB,Primary,3320081.0,30.924,43.71224165,-82.85489609,1369.0,1369.0
6601,32-6002,Huron,Winsor,(3) Other Principal Arterial,R,M-142 MICHIGAN,,,WEST OF,S Main St,2-WAY,EB/WB,Primary,3320033.0,5.387659,43.82998942,-83.27057246,3187.0,3187.0
6602,32-6600,Huron,Port Austin,(4) Minor Arterial,R,M-25 SPRING ST.,,,WEST OF,Lake St,2-WAY,EB/WB,Primary,1031002.0,37.692,44.04631351,-82.99409631,1501.0,1501.0
6603,32-6604,Huron,Port Austin,(4) Minor Arterial,R,M-25 LAKE ST.,,,NORTH OF,Grindstone Rd,2-WAY,NB/SB,Primary,1032202.0,0.46,44.0412527,-82.99436856,1921.0,1921.0
6604,32-6612,Huron,Port Austin,(4) Minor Arterial,R,M-25,,,EAST OF,N Van Dyke Rd,2-WAY,EB/WB,Primary,1033107.0,35.225,44.04098246,-82.98432593,1111.0,1111.0
6605,32-7606,Huron,Rubicon,(4) Minor Arterial,R,M-25,,,SE OF,Portland Ave,2-WAY,NW/SE,Primary,1033107.0,18.572,43.94085262,-82.71245869,1056.0,1056.0
6606,32-8038,Huron,-,(5) Major Collector,R,Filion Rd,,,EAST OF,Carpenter Rd,2-WAY,EB/WB,Primary,1031304.0,19.65075,43.89745367,-82.93840087,752.0,752.0
6607,32-8602,Huron,Sebewaing,(3) Other Principal Arterial,R,M-25 BECK ST.,,,SOUTH OF,N Center St,2-WAY,NB/SB,Primary,1030708.0,4.798,43.73386559,-83.44611446,6506.0,6506.0
6608,32-8604,Huron,Sebewaing,(3) Other Principal Arterial,R,M-25 BECK,,,SOUTH OF,E Main St,2-WAY,NB/SB,Primary,1030708.0,4.577,43.73066482,-83.44600423,9030.0,9030.0
6609,32-9601,Huron,Bingham,(4) Minor Arterial,R,M-19 WASHINGTON,,,SOUTH OF,E Main St,2-WAY,NB/SB,Primary,1034801.0,1.986,43.70975218,-82.93878753,2858.0,2858.0
6610,32-9602,Huron,Bingham,(4) Minor Arterial,R,M-19 WASHINGTON,,,NORTH OF,E Main St,2-WAY,NB/SB,Primary,1034801.0,2.02,43.71024466,-82.93879698,3114.0,3114.0
6611,33-0001,Ingham,Lansing,(3) Other Principal Arterial,U,I-96BL GRAND RIVER,,,NW OF,N Martin Luther King Jr Blvd,2-WAY,NW/SE,Primary,3330066.0,1.426,42.76254851,-84.57564637,13967.0,13967.0
6612,33-0002,Ingham,Lansing,(3) Other Principal Arterial,U,M-43 GRAND RIVER,,,WEST OF,N Howard St,1-WAY,WB,Primary,335601.0,2.618,42.74262038,-84.51056769,13739.0,13739.0
6613,33-0005,Ingham,Williamstown,(4) Minor Arterial,U,M-43 GRAND RIVER,Zimmer Rd,Churchhill Downs Blvd,BETWEEN,Zimmer Rd AND Churchhill Downs Blvd,2-WAY,NW/SE,Primary,335601.0,13.566,42.68990417,-84.30866489,7262.0,7262.0
6614,33-0006,Ingham,-,(4) Minor Arterial,U,M-43 GRAND RIVER,,,SE OF,S Putnam St,2-WAY,NW/SE,Primary,335601.0,15.776,42.6858806,-84.2667445,4784.0,4784.0
6615,33-0007,Ingham,Lansing,(3) Other Principal Arterial,U,S Martin Luther King Jr Blvd,W Hillsdale St,W Lenawee St,BETWEEN,W Hillsdale St AND W Lenawee St,1-WAY,SB,Primary,980401.0,0.7378392,42.72777185,-84.56950794,8348.0,8348.0
6616,33-0008,Ingham,Lansing,(3) Other Principal Arterial,U,OLD-27,,,NORTH OF,Lake Lansing Rd,2-WAY,NB/SB,Primary,3330526.0,2.815,42.76545705,-84.54276424,14729.0,14729.0
6617,33-0009,Ingham,Mason,(4) Minor Arterial,U,M-36,,,NW OF,W Dexter Trl,2-WAY,NW/SE,Primary,361110.0,1.623,42.57702501,-84.42565411,2116.0,2116.0
6618,33-0010,Ingham,-,(4) Minor Arterial,R,M-36 M-52,Swan Rd,M 36 (W Michigan 36),BETWEEN,Swan Rd AND M 36 (W Michigan 36),2-WAY,NB/SB,Primary,360407.0,2.6,42.51380641,-84.19000306,4152.0,4152.0
6619,33-0011,Ingham,White Oak,(4) Minor Arterial,R,M-36,,,EAST OF,Stockbridge Rd,2-WAY,EB/WB,Primary,359405.0,0.201,42.51125174,-84.18612098,946.0,946.0
6620,33-0012,Ingham,Lansing,(3) Other Principal Arterial,U,M-43 SAGINAW,Stanley St,Rosemary Ave,BETWEEN,Stanley St AND Rosemary Ave,2-WAY,EB/WB,Primary,341208.0,1.004874,42.74041635,-84.58327399,23799.0,23799.0
6621,33-0015,Ingham,Lansing,(3) Other Principal Arterial,U,M-43 SAGINAW,,,WEST OF,N Howard St,1-WAY,EB,,341208.0,4.673,42.74089037,-84.51131554,17094.0,17094.0
6622,33-0016,Ingham,East Lansing,(3) Other Principal Arterial,U,I-69BL SAGINAW,,,NE OF,Coolidge Rd,2-WAY,NE/SW,,341208.0,5.097,42.74173798,-84.50326584,26113.0,26113.0
6623,33-0017,Ingham,-,(4) Minor Arterial,R,M-52,,,EAST OF,S Clinton St,2-WAY,NB/SB,Primary,362902.0,0.968,42.438672,-84.17319491,3632.0,3632.0
6624,33-0018,Ingham,-,(4) Minor Arterial,R,M-52,,,SOUTH OF,M 36,2-WAY,NB/SB,Primary,362006.0,3.865,42.50985373,-84.19007706,4641.0,4641.0
6625,33-0019,Ingham,Lansing,(3) Other Principal Arterial,U,M-99 MLK,,,NORTH OF,W Holmes Rd,2-WAY,NB/SB,Primary,352303.0,3.808,42.69899253,-84.56734097,21611.0,21611.0
6626,33-0020,Ingham,-,(4) Minor Arterial,R,M-106,,,SW OF,Green Rd,2-WAY,NB/SB,Primary,362005.0,0.984,42.43319591,-84.18552805,3656.0,3656.0
6627,33-0021,Ingham,-,(4) Minor Arterial,R,M-106,,,EAST OF,Brogan Rd,2-WAY,EB/WB,Primary,351304.0,0.91,42.45384678,-84.16341475,2068.0,2068.0
6628,33-0024,Ingham,Lansing,(3) Other Principal Arterial,U,I-96BL CEDAR,,,SOUTH OF,E Jolly Rd,2-WAY,NB/SB,Primary,359606.0,7.54,42.68155392,-84.54805779,21610.0,21610.0
6629,33-0026,Ingham,Lansing,(3) Other Principal Arterial,U,S Martin Luther King Jr Blvd,,,NORTH OF,W Hillsdale St,1-WAY,NB,Primary,352303.0,5.78889,42.72769257,-84.5672756,9986.0,9986.0
6630,33-0028,Ingham,Lansing,(7) Local Road or Street,U,Wainwright Ave,,,SOUTH OF,Hepfer Rd,2-WAY,NB/SB,,344310.0,0.144461,42.69167769,-84.59270537,967.0,967.0
6631,33-0029,Ingham,Mason,(6) Minor Collector,U,Temple St,,,SOUTH OF,W Dansville Rd,2-WAY,NB/SB,Primary,3331909.0,0.3946878,42.57330202,-84.42510776,726.0,726.0
6632,33-0030,Ingham,-,(4) Minor Arterial,U,M-99 MLK,,,SW OF,Bishop Rd,2-WAY,NE/SW,Primary,352303.0,0.092,42.65467001,-84.60171225,9182.0,9182.0
6633,33-0031,Ingham,Lansing,(3) Other Principal Arterial,U,M-99 MLK,,,SW OF,W Jolly Rd,2-WAY,NE/SW,Primary,352303.0,2.603,42.68170231,-84.56895714,16073.0,16073.0
6634,33-0032,Ingham,-,(4) Minor Arterial,U,M-43 M-52(GR RIVER),,,EAST OF,Perry Rd,2-WAY,NW/SE,Primary,3330502.0,3.501325,42.67540845,-84.21539685,9080.0,9080.0
6635,33-0033,Ingham,-,(4) Minor Arterial,U,M-43 GRAND RIVER,,,EAST OF,Dobie Rd,2-WAY,NW/SE,Primary,335601.0,8.301,42.71675172,-84.40484536,13287.0,13287.0
6636,33-0034,Ingham,East Lansing,(3) Other Principal Arterial,U,I-69BL SAGINAW,,,NE OF,Harrison Rd,2-WAY,NE/SW,Primary,341208.0,5.822,42.74611095,-84.49040555,27904.0,27904.0
6637,33-0036,Ingham,-,(3) Other Principal Arterial,U,M-43 GRAND RIVER,,,EAST OF,Park Lake Rd,2-WAY,NW/SE,Primary,335601.0,6.354459,42.72447321,-84.44157699,19228.0,19228.0
6638,33-0037,Ingham,-,(4) Minor Arterial,U,M-43 GRAND RIVER,Okemos Rd,Marsh Rd,BETWEEN,Okemos Rd AND Marsh Rd,2-WAY,NW/SE,Primary,335601.0,7.324631,42.72130465,-84.42299863,17779.0,17779.0
6639,33-0038,Ingham,-,(4) Minor Arterial,R,M-43 GRAND RIVER,,,SE OF,Meridian Rd,2-WAY,NW/SE,Primary,335601.0,10.80763,42.70749358,-84.35732967,9327.0,9327.0
6640,33-0039,Ingham,Lansing,(7) Local Road or Street,U,Richmond St,,,SOUTH OF,Bernard St,2-WAY,NB/SB,,344709.0,0.2718462,42.69315915,-84.58406946,564.0,564.0
6641,33-0043,Ingham,East Lansing,(3) Other Principal Arterial,U,I-69BL SAGINAW,,,EAST OF,Abbot Rd,2-WAY,EB/WB,Primary,341208.0,6.271,42.74685867,-84.48171473,24231.0,24231.0
